Title,Link,Skills
Frontend Software Engineer,https://www.indeed.com/rc/clk?jk=775cb4283958a9be&fccid=55ec4377da9e509c&vjs=3,"{'nodejs', 'mechanical-engineering', 'design', 'frontend', 'css', 'algorithm', 'engineering', 'google', 'computer-science', 'testing', 'react', 'javascript', 'scalability', 'html', 'data-structures', 'stripe', 'redux'}"
Software Development Engineer I,https://www.indeed.com/rc/clk?jk=a3baf3074f89f0f9&fccid=160efb82f2462f14&vjs=3,"{'api', 'workload', 'node.js', 'security', 'design', 'algorithm', 'java', 'framework', 'engineering', 'computer-science', 'support', 'marketing', 'data-structures', 'business', 'data-structure', 'software'}"
Software Engineer (Jr. / I / II ) - Multiple Openings,https://www.indeed.com/rc/clk?jk=76f03fea87059c3c&fccid=ee7d98e98782cb1d&vjs=3,"{'databases', 'microsoft-azure', 'c', 'software', 'mobile', 'design', 'react', 'dotnet', 'computer-engineering', 'software-engineering', 'server', 'object-oriented-programming', 'engineering', 'computer-science', 'collaboration', 'business', 'sql', 'scalability', 'angularjs'}"
Jr. Software Engineer,https://www.indeed.com/rc/clk?jk=2b7139cf5ae8b58b&fccid=d2621f51dde471d3&vjs=3,"{'communications', 'design', 'object-oriented-programming', 'business', 'java', 'programming-language', 'engineering', 'computer-science', 'c', 'aws', 'box', 'database-design', 'python', 'software'}"
Frontend Engineer - Developer Experience,https://www.indeed.com/rc/clk?jk=37949d3fa793fafe&fccid=66d394411dd2efad&vjs=3,"{'finance', 'design', 'financial-system', 'component', 'typescript', 'next.js', 'react', 'libraries', 'testing', 'cryptocurrency', 'gitlab-ci'}"
Software Engineer Future,https://www.indeed.com/rc/clk?jk=fc06b3a56adc918e&fccid=4500a118e39161b0&vjs=3,"{'analytics', 'java', 'computer-science', 'cpp', 'support', 'c', 'collaboration', 'software'}"
html Coder,https://www.indeed.com/rc/clk?jk=f987180e50415756&fccid=69d685166f3675d8&vjs=3,"{'business', 'perl', 'javascript', 'html'}"
Scala Software Engineer (US),https://www.indeed.com/rc/clk?jk=d5df6d155c6de16c&fccid=f56ec62f798e08c9&vjs=3,"{'kafka', 'design', 'git', 'engineering', 'computer-science', 'support', 'functional-programming', 'business', 'big-data', 'scala', 'software'}"
Computer Software Engineer,https://www.indeed.com/company/Secure-Transfusion-Services/jobs/Computer-Software-Engineer-55a5db6a522004d9?fccid=ebd1f5d4de864ae9&vjs=3,"{'schedule', 'design', 'documentation', 'engineering', 'computer-science', 'testing', 'deployment', 'business-administration', 'software'}"
Software Development Engineer,https://www.indeed.com/rc/clk?jk=921a76262fd82892&fccid=f89deb5a97c7738a&vjs=3,"{'analytics', 'frontend', 'design', 'project-management', 'computer-science', 'testing', 'react', 'data-visualization', 'javascript', 'business', 'software'}"
"Apprentice, Software Engineer",https://www.indeed.com/rc/clk?jk=0530fb82edb6e635&fccid=915b1c0ee87e5e8a&vjs=3,"{'server', 'schedule', 'databases', 'java', 'engineering', 'computer-science', 'marketing', 'ecommerce', 'javascript', 'html', 'css', 'artificial-intelligence', 'languages', 'software'}"
Software Engineer - Recent Grad [US],https://www.indeed.com/rc/clk?jk=612cfe0c6773f85a&fccid=92ecd2dea78a2bc2&vjs=3,"{'security', 'testing', 'new-relic', 'graphite', 'linux', 'software', 'data-management', 'design', 'java', 'google', 'nginx', 'software-engineering', 'devops', 'synchronization', 'engineering', 'computer-science', 'metadata', 'business', 'haproxy', 'hbase', 'python', 'sql', 'file-system'}"
"Software Engineer, Automation",https://www.indeed.com/rc/clk?jk=7377c9c830c32b9c&fccid=645d83ee4cbe1d25&vjs=3,"{'api', 'c', 'testing', 'android', 'game-development', 'software', 'unity', 'mobile', 'design', 'dotnet', 'deployment', 'software-engineering', 'server', 'ios', 'engineering', 'computer-science', 'collaboration', 'continuous-integration', 'support', 'data-analysis'}"
